名器,分类,五行
玉山双峰,乳,土金
春山含雪,乳,阴水
悬玉铃,乳,木阳
凝脂丘,乳,土水
冰玉台,乳,阴水
撑天阙,乳,土阳
侧展翼,乳,阳木
聚玉盏,乳,土阴
锥峰刃,乳,阳金
垂玉悬,乳,土阴
朱砂印,乳,火阳
婴桃蕊,乳,火阳
莲房蒂,乳,木土
含苞玉蕊,乳,阴火
吐信珠,乳,水阴
变彩晕,乳,阴阳
幽兰蒂,乳,阴木
霜蚀圈,乳,阴金
墨玉蒂,乳,阴土
珊瑚唇,乳,阳木
震心弦,乳,火木
酥麻泉,乳,水火阴
乳海汪洋,乳,水土
催魂息,乳,阴火
灵感波,乳,阴木
琥珀脂,乳,水土阳
弹髓质,乳,金木
回春膜,乳,土阳
白虎,屄,阳火
蚯蚓岭,屄,木火
千重门,屄,土木
盘龙柱,屄,金水
春水玉壶,屄,水阴
比目鱼,屄,金木
七孔连珠,屄,金阳
玉香囊,屄,阴土
龙吞口,屄,金土阳
一线天,屄,金土
印笼,屄,水阴
海葵,屄,木火
九曲回廊,屄,木土
荷包穴,屄,金土
鸳鸯扣,屄,金火
花心锁,屄,火阴
响尾蛇,屄,火木
琴弦,屄,木火
梯田,屄,金阳
丹炉,屄,火阳
章鱼,屄,木阳
水蛭,屄,水阴
独木桥,屄,金火阳
鲤鱼嘴,屄,阳木
满天星,屄,土火
玄贝,屄,金阳火
鱼子酱,屄,木水
螺蛳旋,屄,金水
朝天阙,屄,阳水
冰壶,屄,阴金
并蒂莲,屄,木土
锁阳关,屄,金土
猫舌,屄,金火
吸星,屄,水阴
蝠翼,屄,木土
秋千架,屄,木阳
玉涡,屄,金水
泥鳅,屄,水阴
五龙戏珠,屄,阳火
枯木逢春,屄,水木
鬼手,屄,木金
玉门关,屄,金土阳
含羞草,屄,木阴
棉花云,屄,土水
流沙河,屄,土水阴
凤鸣穴,屄,火阳
水晶宫,屄,水金阴
千斤闸,屄,土金
石榴房,屄,水火
阴阳穴,屄,阴阳
无底洞,屄,阴阳
海浪穴,屄,水木
马眼扣,屄,金阴
金刚钻,屄,金火阳
雀舌,屄,火阳
百褶莲,屄,火木
回旋镖,屄,金阳
紫河车,屄,阴火
灵蛇,口,木水
猫刺,口,金火
穿花梭,口,阳火
吞天,口,土阴
喉珠,口,木金
玉锁,口,金土
吸髓,口,水阴
龙吸水,口,水阴
甘霖,口,水
炎口,口,火阳
冰魄,口,阴水
卷云舌,口,土木
软香腮,口,土木
漩涡,口,金水
含香,口,阴火
樱桃口,口,金阳
雷音,口,火阳
软玉,口,土木
虎噬,口,金火
空气阀,口,水阳
千层,口,木土
金钱眼,后庭,金土
断龙石,后庭,金土阳
羊肠径,后庭,木土
温香鼎,后庭,火阴
盘丝洞,后庭,水木
推磨鬼,后庭,金土
千结索,后庭,木土
无忧乡,后庭,火阳
饕餮口,后庭,土阴
琉璃脆,后庭,阴火
铁门栓,后庭,金土
金刚环,后庭,金土
叠峦峰,后庭,木土
蛇盘道,后庭,木阴
蜜蜡封,后庭,土水
甘露井,后庭,水阳
鬼手藤,后庭,木金
寒玉床,后庭,阴水
品莲台,后庭,阳木
颤心弦,后庭,火木
针毡丛,后庭,金火
吞云袋,后庭,水阴
