域,宗门名称,规模,位置,主要人物,已有人设角色,简介,理念,是否有主线剧情,主线剧情简介
中原,问道仙宗,大宗,凡界-中原-万木悟道古林-问道山,李道玄(男·化神后期·宗主) / 洛雪铃(女·金丹后期·圣女) / 林素水(女·元婴后期·长老团(各主一峰)·万法峰) / 熊开山(男·元婴后期·长老团(各主一峰)·孤松峰) / 陆乘风(男·元婴后期·长老团(各主一峰)·说剑峰) / 柳青芜(女·元婴中期·长老团(各主一峰)·翠珏峰) / 何虚静(女·元婴中期·长老团(各主一峰)·玄衍峰) / 谢聆语(女·元婴初期·长老团(各主一峰)·交心峰) / 欧长石(男·元婴初期·长老团(各主一峰)·神锻峰),洛雪铃 / 林素水 / 柳青芜 / 何虚静 / 谢聆语 / 谢素卿,"兼容诸道之宗,万法可修、各有所成","道法玄机,兼收并蓄;入世护民、共御天魔",FALSE,
中原,萝武门,大宗,凡界-中原-灼华山,苏绮绮(玉锻仙子)(女·化神中期·掌门) / 谢小磬(女·元婴后期·锻骨脉) / 黎甘棠(女·元婴中期·养元脉) / 白蕊弦(女·元婴初期·战技脉),苏绮绮 / 谢小磬 / 黎甘棠 / 白蕊弦 / 阿团 / 程萤萤,"锻体(体修)宗门,居灼华山;承""力破万法、肉身成圣""之路,然秘法专为女子柔躯所创","力破万法,肉身成圣",FALSE,
中原,星蚀宗,大宗,凡界-中原-七曜连峰-璇玑台,卜玄机(噬星魔尊)(男·化神后期·宗主) / 窥微(女·化神初期·邃瞳长老(瞳术窥心)) / 蚀光(女·元婴后期·噬星长老(域外术法)) / 妩烟(女·元婴中期·媚欲长老(勾欲奴心)),窥微 / 蚀光 / 妩烟,"前身为凡界占星术第一之宗【璇玑阁】(玄盟成员),据七曜连峰、跨北斗七峰而立,于璇玑观星台夜夜观象、为天下推演天机",,FALSE,
中原,北辰学宫,小宗,凡界-中原-胜天城,阮卿颜(女·元婴后期·宫主),阮卿颜 / 阮琢玉,乾元圣朝所立、招纳凡民及散修之最高学府;修仙规模化、降入门之槛,,FALSE,
中原,镇魔司,小宗,"凡界-中原-胜天城,并于各地设分司",郑守方(男·元婴后期·总管) / 李磐钟(男·元婴后期·典狱长) / 莫愧言(女·金丹后期·文书),莫愧言 / 段无颜,乾元圣朝护律法、镇邪魔之武力,,FALSE,
东土,天衍楼,大宗,凡界-东土-临渊城,易方圆(男·化神后期·楼主) / 凌绘萱(女·元婴后期·神符司·司主) / 许云妙(女·元婴中期·万阵司·司主) / 百晓生(男·元婴初期·明世司·司主),凌绘萱 / 许云妙,"以阵法、符箓、卜算之术闻于世,定期举办""天衍大比""以扬其名","洞察天机,推演万法",FALSE,
东土,合欢宗,大宗,凡界-东土-临渊城,沈沐漪(女·化神中期·宗主) / 蝶恋花(女·化神初期·幻情长老(神魂双修·极乐幻境)) / 苏金手(男·化神初期·肉欲长老(体术·性爱技巧)) / 慕怜心(女·元婴中期·圣女),沈沐漪 / 蝶恋花 / 慕怜心 / 宋蝉衣,"不属正魔之宗门,坚信阴阳交合、七情六欲乃通大道之根本,男女弟子兼有","极乐红尘,交融即道",FALSE,
东土,琉璃丹宗,大宗,凡界-东土-流芳岛,岐青黛(青囊圣手)(女·化神后期·宗主) / 桐绛雪(女·化神初期·丹堂(丹药研发炼制)·长老) / 俞采苓(女·元婴中期·药堂(灵药培育·低阶丹量产)·长老) / 林蘅芷(女·元婴后期·毒堂(毒药毒丹及解药)·长老) / 古思辨(男·元婴初期·经堂(古籍丹方·丹道理论)·长老),岐青黛 / 桐绛雪 / 林蘅芷 / 俞采苓 / 卓青砚,"专精炼丹之宗门;神陆最大之丹药供应商,无数修士赖以为生,凡间有""药王岛""之美誉","以药济世,以丹证道",FALSE,
东土,蓬莱仙宗,大宗,凡界-东土-蓬莱三仙岛,沧溟真人(男·化神后期·掌教) / 云鹤子(男·化神中期·蓬莱峰主(剑道)) / 静玄真人(女·化神初期·方丈峰主(丹符)) / 沧岚真人(女·化神中期·瀛洲峰主(阵道)),沧岚真人 / 静玄真人 / 顾月华,"隐世于蓬莱三仙岛之上古仙宗,清修问道、御剑参玄;东土修真之天花板","超然物外,守一问玄",FALSE,
东土,广寒宫,大宗,凡界-东土-霜花岛,慕璇玑(广寒仙子)(女·化神后期·宫主) / 苏沐月(女·化神初期·太阴长老(月修)) / 凌寒霜(女·元婴后期·冰霜长老(冰雪战修)) / 月怜(女·元婴中期·月华长老(神魂·疗愈)) / 白霜儿(女·元婴初期·圣女),慕璇玑 / 苏沐月 / 凌寒霜 / 月怜 / 白霜儿 / 白鹿汀,"隐于霜花岛之全女宗门,主修冰霜、太阴、月华,功法专养、增强女子""元阴""之力","守贞问月,从一而终",FALSE,
北境,聆风斋,大宗,凡界-北境-南风锦绣-锦绣城,"白羽弦(女·化神中期·斋主) / 林幽笛(女·元婴后期·幻音律(以笛音织就幻境,扰人神魂)) / 钟鼓憾(男·元婴中期·震音律(以鼓声雷音御敌,气势磅礴))",白羽弦 / 林幽笛 / 顾流商,"专精音律之道,以音入道、以乐载法;天下风雅修士之圣地","音通天地,律和人心",FALSE,
北境,千机门,大宗,凡界-北境-不周残脊东麓-千机峰,公输冶(男·化神中期·门主) / 墨长庚(男·元婴后期·神机阁(钻研图纸)) / 鲁千工(男·元婴中期·造物阁(批量制造)) / 诸葛巧(女·元婴初期·外务阁(法宝外销)),诸葛巧 / 公输霁,以机关术、炼器术闻于世,"格物致知,巧夺天工",FALSE,
北境,血莲密教,大宗,凡界-北境-不周残脊西侧-千骨陉,大悲·罗喉(男·化神后期·血莲法王) / 屠尸·达赞(男·元婴后期·血供金刚(主祭祀仪轨与活人血祭)) / 千骨·南木(男·元婴后期·骨炼金刚(主以人骨炼制魔器)) / 莲华·罗刹母(女·元婴中期·双修金刚(主邪门双修法门)) / 噬心·朗夜(男·元婴中期·蛊心金刚(主精神蛊术)),莲华·罗刹母,"不周残脊深处之邪门密教魔宗,以人祭血供为根本修法","以众生为血祭,自渡苦海",FALSE,
北境,烬阳城,城宗,凡界-北境-黑曜火渊-火渊东壁,程铁衣(烬阳真人)(男·化神前期·城主),颜晚晚,悬建于黑曜火渊东壁阶梯之上的修仙城,,FALSE,
北境,冻骨观,小宗,凡界-北境-永霜松涛-孤坟岭深处,沈夜归(阴照真人)(男·金丹后期·观主),,"永霜松涛深处之鬼修小宗,依孤坟岭尸气而立",,FALSE,
北境,盐镜社,小宗,凡界-北境-千镜盐泽-镜寒丘,镜寒空(女·金丹中期·社主),镜寒空,"千镜盐泽中央'镜寒丘'之倒影幻术秘社,与七姓盐家镜氏有秘密联系",,FALSE,
南疆,湘灵阁,大宗,凡界-南疆-云梦泽-郢城九歌殿,湘九灵(女·化神后期·阁主) / 湘洛凝(女·元婴前期·九歌长老) / 湘泠玉(女·元婴中期·巫祝长老) / 湘望川(男·元婴中期·通灵长老),湘九灵 / 湘洛凝 / 湘泠玉,"上古""巫族""之失落血裔所立大宗,以巫骨承祖,以九歌通神;楚天王朝宗主","通灵问祖,巫骨承道",FALSE,
南疆,幽冥府,大宗,凡界-南疆-永恒谷-通幽阁,通幽(男·化神中期·府主) / 无常君(男·化神初期·咒死殿长老) / 百骨道人(男·元婴后期·炼尸殿长老) / 鬼母(女·元婴后期·拘魂殿长老),鬼母,"专注摄取、转化并驾驭""死气"",精于炼制与驱使各种""尸傀"";大祀王朝宗主","死为归处,亦是永恒",FALSE,
南疆,五毒教,大宗,凡界-南疆-雨瘴林-神木殿,田殊兰(女·化神中期·教主) / 蓝幽月(女·金丹后期·圣女) / 吴公长老(男·元婴后期·天蜈部) / 佘青丝(女·元婴中期·灵蛇部) / 蝎万里(男·元婴中期·魔蝎部) / 詹金蟾(女·元婴初期·圣蟾部) / 毕幽影(男·元婴初期·鬼虎部),田殊兰 / 蓝幽月 / 佘青丝 / 詹金蟾,"精通淬毒炼蛊,驾驭世间万毒之大宗","毒亦是道,与毒共生",FALSE,
南疆,千形宗,大宗,凡界-南疆-翠玉丘-造物殿,"侯衍(男·化神中期·宗主) / 萧无骨(女·元婴后期·育殿长老(主""捕、配、育"")) / 柳青鸾(女·元婴后期·改殿长老(主""灌、植、改造"")) / 公输绫(女·元婴中期·造殿长老(主""量产、运销、武装""))",萧无骨 / 柳青鸾 / 公输绫,繁育畸变魔兽、活体改造之大宗,"万灵皆可塑,万形皆可造",FALSE,
南疆,万妖盟,盟宗,凡界-南疆-十万大山,龙归芸(女·化神后期·潜龙族·族长) / 凰韶音(女·化神后期·落凤族·族长) / 苏晴韵(女·化神后期·青丘狐族·族长) / 龟仙人(男·化神后期·洛水龟族·族长) / 金兑庚(男·化神中期·覆山虎族·族长) / 夜天豪(男·化神中期·啸夜狼族·族长) / 袁六通(男·化神初期·混世猴族·族长),龙归芸 / 龙璇玑 / 凰韶音 / 凤长歌 / 凰千羽 / 苏晴韵 / 苏凝香,"由南疆十万大山中诸多妖族为延续传承所结之联盟,由各族共治","守护血脉,延续传承",FALSE,
西域,承天道门,大宗,凡界-西域-青龙玉野-承天岳主峰,玄阳子(玄玑真人)(男·化神后期·掌教真人(承天道祖位)) / 陆景元(紫虚真人)(男·元婴后期·监院) / 苏明霖(紫极真人)(女·元婴后期·高功) / 王守拙(清苍真人)(男·元婴后期·都讲),,"承天岳上古道门,清静无为,守一抱朴","道法自然,清静无为,承天守一",FALSE,
西域,天玄剑宗,大宗,凡界-西域-无垠雪山-中部主峰,莫决云(男·化神后期·宗主),墨诗行 / 白秋禾,"剑修圣地,人剑合一,心诚剑明;弟子常下山斩妖除魔,扶危济困","人剑合一,心诚剑明",FALSE,
西域,玉女宗,大宗,凡界-西域-无垠雪山-雪山北麓,陆霜岚(女·化神后期·宗主) / 清心(女·元婴后期·戒律长老) / 姜行露(女·金丹初期·圣女),陆霜岚 / 清心 / 姜行露 / 顾溪寒,"全女宗门,门人皆为女子;以太上忘情为道,极致冷静与理性,与天玄剑宗同列仙盟","太上忘情,心如止水;立于更高维度审视七情六欲并终勘破之",FALSE,
西域,菩提禅宗,大宗,凡界-西域-菩提雪山-祖庭峰,释明心(空相禅师)(男·化神后期·方丈) / 释慧能(般若禅师)(男·元婴后期·参禅院首座) / 释守一(空山禅师)(男·元婴后期·禅武院首座) / 释清远(心斋禅师)(男·元婴中期·戒律院首座) / 释知归(鸿渐禅师)(男·元婴中期·译经堂主),,"佛门首宗,禅武双修","明心见性,顿悟成佛;禅武不二,以武入禅、以禅证武",FALSE,
西域,拜火坛,大宗,凡界-西域-柔风海湾-圣火塔,萨珊(男·化神后期·大祭司) / 阿尔达(男·元婴后期·真理长老) / 库斯罗(男·元婴后期·神威长老) / 巴赫曼(男·元婴中期·善思长老) / 阿娜希塔(女·元婴中期·虔敬长老) / 法蒂玛(女·金丹后期·完整长老) / 帕尔斯(男·金丹后期·不朽长老),阿娜希塔 / 法蒂玛 / 米塔拉,"古祆教大宗,圣火不灭千年;扶持赤焰拜日国为凡人附属国",善思·善言·善行(三善之道);圣火不灭真理不绝,FALSE,
西域,青鸟门,小宗,凡界-西域-昆仑神墟-三青鸟亭,沈青慈(瑶华真君)(女·元婴后期·门主) / 苏朱凝(玄羽真人)(女·元婴初期·大鵹使) / 林玄青(朱羽真人)(女·金丹中期·少鵹使),沈青慈 / 苏朱凝 / 林玄青,"昆仑神墟瑶池畔之隐世女门;以三青鸟为信使,驭百灵兽,门人皆女子","通灵驭兽,与万灵同息;以山海异兽为伴侣,不近凡尘是非",FALSE,
